"[250.         250.         250.         250.         250.
 250.         250.         250.         250.         250.
 249.99999949]","[480.         433.         386.         339.         292.
 245.         198.         151.         104.          57.
   9.99999952]",image221307
"[250.         249.         248.         247.         246.
 245.         244.         243.         242.         241.
 239.99999735]","[480.         433.5        387.         340.5        294.
 247.5        201.         154.5        108.          61.5
  14.99999738]",image221308
"[250.        251.        252.        253.        254.        255.
 256.        257.        258.        259.        260.0000004]","[480.         433.         386.         339.         292.
 245.         198.         151.         104.          57.
  10.00000078]",image221309
"[250.         251.         252.         253.         254.
 255.         256.         257.         258.         259.
 260.00000066]","[480.         432.8        385.6        338.4        291.2
 244.         196.8        149.6        102.4         55.2
   8.00000011]",image221310
"[250.        252.        254.        256.        258.        260.
 262.        264.        266.        268.        269.9999995]","[480.         433.         386.         339.         292.
 245.         198.         151.         104.          57.
   9.99999951]",image221311
"[250.        250.5       251.        251.5       252.        252.5
 253.        253.5       254.        254.5       255.0000002]","[480.         432.5        385.         337.5        290.
 242.5        195.         147.5        100.          52.5
   5.00000075]",image221312
"[250.         249.5        249.         248.5        248.
 247.5        247.         246.5        246.         245.5
 244.99999981]","[480.         432.8        385.6        338.4        291.2
 244.         196.8        149.6        102.4         55.2
   7.99999703]",image221313
"[250.         250.5        251.         251.5        252.
 252.5        253.         253.5        254.         254.5
 254.99999422]","[480.         433.2        386.4        339.6        292.8
 246.         199.2        152.4        105.6         58.8
  11.99999467]",image221314
"[250.         250.3        250.6        250.9        251.2
 251.5        251.8        252.1        252.4        252.7
 252.99999639]","[480.        433.1       386.2       339.3       292.4       245.5
 198.6       151.7       104.8        57.9        10.9999968]",image221315
"[250.         249.7        249.4        249.1        248.8
 248.5        248.2        247.9        247.6        247.3
 246.99999639]","[480.        433.1       386.2       339.3       292.4       245.5
 198.6       151.7       104.8        57.9        10.9999968]",image221316
"[250.         249.7        249.4        249.1        248.8
 248.5        248.2        247.9        247.6        247.3
 246.99999916]","[480.         433.6        387.2        340.8        294.4
 248.         201.6        155.2        108.8         62.4
  16.00000013]",image221317
"[250.         249.8        249.6        249.4        249.2
 249.         248.8        248.6        248.4        248.2
 248.00000092]","[480.       433.3      386.6      339.9      293.2      246.5
 199.8      153.1      106.4       59.7       12.999996]",image221318
"[250.         249.9        249.8        249.7        249.6
 249.5        249.4        249.3        249.2        249.1
 249.00000041]","[480.         432.6        385.2        337.8        290.4
 243.         195.6        148.2        100.8         53.4
   6.00000091]",image221319
"[250.         250.         250.         250.         250.
 250.         250.         250.         250.         250.
 249.99999854]","[480.         432.2        384.4        336.6        288.8
 241.         193.2        145.4         97.6         49.8
   1.99999763]",image221323
"[250.         250.6        251.2        251.8        252.4
 253.         253.6        254.2        254.8        255.4
 256.00000227]","[480.         432.2        384.4        336.6        288.8
 241.         193.2        145.4         97.6         49.8
   1.99999737]",image221326
"[250.         250.7        251.4        252.1        252.8
 253.5        254.2        254.9        255.6        256.3
 257.00000074]","[480.         432.5        385.         337.5        290.
 242.5        195.         147.5        100.          52.5
   5.00000019]",image221327
"[250.         250.         250.         250.         250.
 250.         250.         250.         250.         250.
 250.00000022]","[480.         432.5        385.         337.5        290.
 242.5        195.         147.5        100.          52.5
   5.00000076]",image221332
"[250.         250.2        250.4        250.6        250.8
 251.         251.2        251.4        251.6        251.8
 252.00000026]","[480.         432.9        385.8        338.7        291.6
 244.5        197.4        150.3        103.2         56.1
   9.00000067]",image221333
"[250.         250.3        250.6        250.9        251.2
 251.5        251.8        252.1        252.4        252.7
 253.00000096]","[480.        432.9       385.8       338.7       291.6       244.5
 197.4       150.3       103.2        56.1         9.0000012]",image221338
"[250.         249.8        249.6        249.4        249.2
 249.         248.8        248.6        248.4        248.2
 248.00000026]","[480.         432.9        385.8        338.7        291.6
 244.5        197.4        150.3        103.2         56.1
   9.00000067]",image221339
"[250.         250.3        250.6        250.9        251.2
 251.5        251.8        252.1        252.4        252.7
 253.00000096]","[480.         433.3        386.6        339.9        293.2
 246.5        199.8        153.1        106.4         59.7
  12.99999601]",image221344
"[250.        250.5       251.        251.5       252.        252.5
 253.        253.5       254.        254.5       255.0000011]","[480.         433.3        386.6        339.9        293.2
 246.5        199.8        153.1        106.4         59.7
  12.99999604]",image221345
"[250.         250.5        251.         251.5        252.
 252.5        253.         253.5        254.         254.5
 255.00000022]","[480.         433.         386.         339.         292.
 245.         198.         151.         104.          57.
  10.00000023]",image221350
"[250.         249.8        249.6        249.4        249.2
 249.         248.8        248.6        248.4        248.2
 248.00000071]","[480.         433.         386.         339.         292.
 245.         198.         151.         104.          57.
  10.00000108]",image221354
"[250.         249.7        249.4        249.1        248.8
 248.5        248.2        247.9        247.6        247.3
 246.99999285]","[480.         433.8        387.6        341.4        295.2
 249.         202.8        156.6        110.4         64.2
  17.99999301]",image221355
"[250.         250.1        250.2        250.3        250.4
 250.5        250.6        250.7        250.8        250.9
 251.00000015]","[480.         432.8        385.6        338.4        291.2
 244.         196.8        149.6        102.4         55.2
   8.00000063]",image221360
