"[250.         250.         250.         250.         250.
 250.         250.         250.         250.         250.
 249.99999949]","[480.         433.         386.         339.         292.
 245.         198.         151.         104.          57.
   9.99999952]",250.0,10.0,image221307
"[250.         249.         248.         247.         246.
 245.         244.         243.         242.         241.
 239.99999735]","[480.         433.5        387.         340.5        294.
 247.5        201.         154.5        108.          61.5
  14.99999738]",240.0,15.0,image221308
"[250.        251.        252.        253.        254.        255.
 256.        257.        258.        259.        260.0000004]","[480.         433.         386.         339.         292.
 245.         198.         151.         104.          57.
  10.00000078]",260.0,10.0,image221309
"[250.         251.         252.         253.         254.
 255.         256.         257.         258.         259.
 260.00000066]","[480.         432.8        385.6        338.4        291.2
 244.         196.8        149.6        102.4         55.2
   8.00000011]",260.0,8.0,image221310
"[250.        252.        254.        256.        258.        260.
 262.        264.        266.        268.        269.9999995]","[480.         433.         386.         339.         292.
 245.         198.         151.         104.          57.
   9.99999951]",270.0,10.0,image221311
"[250.        250.5       251.        251.5       252.        252.5
 253.        253.5       254.        254.5       255.0000002]","[480.         432.5        385.         337.5        290.
 242.5        195.         147.5        100.          52.5
   5.00000075]",255.0,5.0,image221312
"[250.         249.5        249.         248.5        248.
 247.5        247.         246.5        246.         245.5
 244.99999981]","[480.         432.8        385.6        338.4        291.2
 244.         196.8        149.6        102.4         55.2
   7.99999703]",245.0,8.0,image221313
"[250.         250.5        251.         251.5        252.
 252.5        253.         253.5        254.         254.5
 254.99999422]","[480.         433.2        386.4        339.6        292.8
 246.         199.2        152.4        105.6         58.8
  11.99999467]",255.0,12.0,image221314
"[250.         250.3        250.6        250.9        251.2
 251.5        251.8        252.1        252.4        252.7
 252.99999639]","[480.        433.1       386.2       339.3       292.4       245.5
 198.6       151.7       104.8        57.9        10.9999968]",253.0,11.0,image221315
"[250.         249.7        249.4        249.1        248.8
 248.5        248.2        247.9        247.6        247.3
 246.99999639]","[480.        433.1       386.2       339.3       292.4       245.5
 198.6       151.7       104.8        57.9        10.9999968]",247.0,11.0,image221316
"[250.         249.7        249.4        249.1        248.8
 248.5        248.2        247.9        247.6        247.3
 246.99999916]","[480.         433.6        387.2        340.8        294.4
 248.         201.6        155.2        108.8         62.4
  16.00000013]",247.0,16.0,image221317
"[250.         249.8        249.6        249.4        249.2
 249.         248.8        248.6        248.4        248.2
 248.00000092]","[480.       433.3      386.6      339.9      293.2      246.5
 199.8      153.1      106.4       59.7       12.999996]",248.0,13.0,image221318
"[250.         249.9        249.8        249.7        249.6
 249.5        249.4        249.3        249.2        249.1
 249.00000041]","[480.         432.6        385.2        337.8        290.4
 243.         195.6        148.2        100.8         53.4
   6.00000091]",249.0,6.0,image221319
"[250.         250.         250.         250.         250.
 250.         250.         250.         250.         250.
 249.99999854]","[480.         432.2        384.4        336.6        288.8
 241.         193.2        145.4         97.6         49.8
   1.99999763]",250.0,2.0,image221323
"[250.         250.6        251.2        251.8        252.4
 253.         253.6        254.2        254.8        255.4
 256.00000227]","[480.         432.2        384.4        336.6        288.8
 241.         193.2        145.4         97.6         49.8
   1.99999737]",256.0,2.0,image221326
"[250.         250.7        251.4        252.1        252.8
 253.5        254.2        254.9        255.6        256.3
 257.00000074]","[480.         432.5        385.         337.5        290.
 242.5        195.         147.5        100.          52.5
   5.00000019]",257.0,5.0,image221327
"[250.         250.         250.         250.         250.
 250.         250.         250.         250.         250.
 250.00000022]","[480.         432.5        385.         337.5        290.
 242.5        195.         147.5        100.          52.5
   5.00000076]",250.0,5.0,image221332
"[250.         250.2        250.4        250.6        250.8
 251.         251.2        251.4        251.6        251.8
 252.00000026]","[480.         432.9        385.8        338.7        291.6
 244.5        197.4        150.3        103.2         56.1
   9.00000067]",252.0,9.0,image221333
"[250.         250.3        250.6        250.9        251.2
 251.5        251.8        252.1        252.4        252.7
 253.00000096]","[480.        432.9       385.8       338.7       291.6       244.5
 197.4       150.3       103.2        56.1         9.0000012]",253.0,9.0,image221338
"[250.         249.8        249.6        249.4        249.2
 249.         248.8        248.6        248.4        248.2
 248.00000026]","[480.         432.9        385.8        338.7        291.6
 244.5        197.4        150.3        103.2         56.1
   9.00000067]",248.0,9.0,image221339
"[250.         250.3        250.6        250.9        251.2
 251.5        251.8        252.1        252.4        252.7
 253.00000096]","[480.         433.3        386.6        339.9        293.2
 246.5        199.8        153.1        106.4         59.7
  12.99999601]",253.0,13.0,image221344
"[250.        250.5       251.        251.5       252.        252.5
 253.        253.5       254.        254.5       255.0000011]","[480.         433.3        386.6        339.9        293.2
 246.5        199.8        153.1        106.4         59.7
  12.99999604]",255.0,13.0,image221345
"[250.         250.5        251.         251.5        252.
 252.5        253.         253.5        254.         254.5
 255.00000022]","[480.         433.         386.         339.         292.
 245.         198.         151.         104.          57.
  10.00000023]",255.0,10.0,image221350
"[250.         249.8        249.6        249.4        249.2
 249.         248.8        248.6        248.4        248.2
 248.00000071]","[480.         433.         386.         339.         292.
 245.         198.         151.         104.          57.
  10.00000108]",248.0,10.0,image221354
"[250.         249.7        249.4        249.1        248.8
 248.5        248.2        247.9        247.6        247.3
 246.99999285]","[480.         433.8        387.6        341.4        295.2
 249.         202.8        156.6        110.4         64.2
  17.99999301]",247.0,18.0,image221355
"[250.         250.1        250.2        250.3        250.4
 250.5        250.6        250.7        250.8        250.9
 251.00000015]","[480.         432.8        385.6        338.4        291.2
 244.         196.8        149.6        102.4         55.2
   8.00000063]",251.0,8.0,image221360
"[250.         250.5        251.         251.5        252.
 252.5        253.         253.5        254.         254.5
 254.99999981]","[480.         432.8        385.6        338.4        291.2
 244.         196.8        149.6        102.4         55.2
   7.99999703]",255.0,8.0,image221363
"[250.         249.9        249.8        249.7        249.6
 249.5        249.4        249.3        249.2        249.1
 249.00000021]","[480.         432.7        385.4        338.1        290.8
 243.5        196.2        148.9        101.6         54.3
   6.99999923]",249.0,7.0,image221364
"[250.         249.5        249.         248.5        248.
 247.5        247.         246.5        246.         245.5
 244.99999938]","[480.         432.4        384.8        337.2        289.6
 242.         194.4        146.8         99.2         51.6
   3.99999928]",245.0,4.0,image221370
"[250.         249.7        249.4        249.1        248.8
 248.5        248.2        247.9        247.6        247.3
 247.00000025]","[480.         432.7        385.4        338.1        290.8
 243.5        196.2        148.9        101.6         54.3
   7.00000094]",247.0,7.0,image221371
"[250.         250.1        250.2        250.3        250.4
 250.5        250.6        250.7        250.8        250.9
 251.00000021]","[480.         432.7        385.4        338.1        290.8
 243.5        196.2        148.9        101.6         54.3
   6.99999923]",251.0,7.0,image221376
"[250.         252.6        255.2        257.8        260.4
 263.         265.6        268.2        270.8        273.4
 276.00000094]","[480.         432.7        385.4        338.1        290.8
 243.5        196.2        148.9        101.6         54.3
   7.00000041]",276.0,7.0,image221382
"[250.         249.6        249.2        248.8        248.4
 248.         247.6        247.2        246.8        246.4
 246.00000024]","[480.         432.7        385.4        338.1        290.8
 243.5        196.2        148.9        101.6         54.3
   7.00000094]",246.0,7.0,image221383
"[250.        249.4       248.8       248.2       247.6       247.
 246.4       245.8       245.2       244.6       244.0000002]","[480.         432.5        385.         337.5        290.
 242.5        195.         147.5        100.          52.5
   5.00000074]",244.0,5.0,image221384
"[250.         249.9        249.8        249.7        249.6
 249.5        249.4        249.3        249.2        249.1
 248.99995808]","[480.         432.5        385.         337.5        290.
 242.5        195.         147.5        100.          52.5
   4.99997176]",249.0,5.0,image221388
"[250.         250.         250.         250.         250.
 250.         250.         250.         250.         250.
 249.99999854]","[480.         432.2        384.4        336.6        288.8
 241.         193.2        145.4         97.6         49.8
   1.99999763]",250.0,2.0,image221395
"[250.         250.         250.         250.         250.
 250.         250.         250.         250.         250.
 249.99997763]","[ 4.80000000e+02  4.32000000e+02  3.84000000e+02  3.36000000e+02
  2.88000000e+02  2.40000000e+02  1.92000000e+02  1.44000000e+02
  9.60000000e+01  4.80000000e+01 -1.58220899e-05]",250.0,0.0,image221396
"[250.         249.9        249.8        249.7        249.6
 249.5        249.4        249.3        249.2        249.1
 248.99997512]","[480.         432.1        384.2        336.3        288.4
 240.5        192.6        144.7         96.8         48.9
   0.99998104]",249.0,1.0,image221398
"[250.         249.8        249.6        249.4        249.2
 249.         248.8        248.6        248.4        248.2
 247.99997446]","[480.         432.1        384.2        336.3        288.4
 240.5        192.6        144.7         96.8         48.9
   0.99998247]",248.0,1.0,image221399
"[250.         250.         250.         250.         250.
 250.         250.         250.         250.         250.
 249.99999854]","[480.         432.2        384.4        336.6        288.8
 241.         193.2        145.4         97.6         49.8
   1.99999763]",250.0,2.0,image221404
"[250.         250.         250.         250.         250.
 250.         250.         250.         250.         250.
 249.99999854]","[480.         432.2        384.4        336.6        288.8
 241.         193.2        145.4         97.6         49.8
   1.99999763]",250.0,2.0,image221410
"[250.         250.         250.         250.         250.
 250.         250.         250.         250.         250.
 249.99996854]","[480.         432.3        384.6        336.9        289.2
 241.5        193.8        146.1         98.4         50.7
   2.99997542]",250.0,3.0,image221411
"[250.         249.9        249.8        249.7        249.6
 249.5        249.4        249.3        249.2        249.1
 248.99997764]","[ 4.80000000e+02  4.32000000e+02  3.84000000e+02  3.36000000e+02
  2.88000000e+02  2.40000000e+02  1.92000000e+02  1.44000000e+02
  9.60000000e+01  4.80000000e+01 -1.58215298e-05]",249.0,0.0,image221412
"[250.         249.9        249.8        249.7        249.6
 249.5        249.4        249.3        249.2        249.1
 248.99997512]","[480.         432.1        384.2        336.3        288.4
 240.5        192.6        144.7         96.8         48.9
   0.99998104]",249.0,1.0,image221413
"[250.         249.9        249.8        249.7        249.6
 249.5        249.4        249.3        249.2        249.1
 248.99997175]","[480.         432.2        384.4        336.6        288.8
 241.         193.2        145.4         97.6         49.8
   1.99997886]",249.0,2.0,image221420
"[250.         249.9        249.8        249.7        249.6
 249.5        249.4        249.3        249.2        249.1
 249.00000018]","[480.         432.3        384.6        336.9        289.2
 241.5        193.8        146.1         98.4         50.7
   2.99999995]",249.0,3.0,image221426
"[250.         249.8        249.6        249.4        249.2
 249.         248.8        248.6        248.4        248.2
 247.99999995]","[ 4.8000000e+02  4.3200000e+02  3.8400000e+02  3.3600000e+02
  2.8800000e+02  2.4000000e+02  1.9200000e+02  1.4400000e+02
  9.6000000e+01  4.8000000e+01 -3.5664417e-07]",248.0,0.0,image221427
"[250.         249.8        249.6        249.4        249.2
 249.         248.8        248.6        248.4        248.2
 247.99997446]","[480.         432.1        384.2        336.3        288.4
 240.5        192.6        144.7         96.8         48.9
   0.99998247]",248.0,1.0,image221428
"[250.         249.8        249.6        249.4        249.2
 249.         248.8        248.6        248.4        248.2
 247.99997224]","[480.         432.2        384.4        336.6        288.8
 241.         193.2        145.4         97.6         49.8
   1.99997801]",248.0,2.0,image221432
"[250.         249.8        249.6        249.4        249.2
 249.         248.8        248.6        248.4        248.2
 248.00000018]","[480.         432.3        384.6        336.9        289.2
 241.5        193.8        146.1         98.4         50.7
   2.99999995]",248.0,3.0,image221433
"[250.         250.1        250.2        250.3        250.4
 250.5        250.6        250.7        250.8        250.9
 250.99997175]","[480.         432.2        384.4        336.6        288.8
 241.         193.2        145.4         97.6         49.8
   1.99997886]",251.0,2.0,image221438
"[250.         250.1        250.2        250.3        250.4
 250.5        250.6        250.7        250.8        250.9
 251.00000018]","[480.         432.3        384.6        336.9        289.2
 241.5        193.8        146.1         98.4         50.7
   2.99999995]",251.0,3.0,image221442
"[250.         250.2        250.4        250.6        250.8
 251.         251.2        251.4        251.6        251.8
 252.00000018]","[480.         432.3        384.6        336.9        289.2
 241.5        193.8        146.1         98.4         50.7
   2.99999995]",252.0,3.0,image221443
"[250.         250.2        250.4        250.6        250.8
 251.         251.2        251.4        251.6        251.8
 251.99999941]","[480.         432.4        384.8        337.2        289.6
 242.         194.4        146.8         99.2         51.6
   3.99999931]",252.0,4.0,image221448
"[250.         250.2        250.4        250.6        250.8
 251.         251.2        251.4        251.6        251.8
 252.00000021]","[480.         432.5        385.         337.5        290.
 242.5        195.         147.5        100.          52.5
   5.00000075]",252.0,5.0,image221451
"[250.         250.2        250.4        250.6        250.8
 251.         251.2        251.4        251.6        251.8
 252.00000021]","[480.         432.6        385.2        337.8        290.4
 243.         195.6        148.2        100.8         53.4
   6.00000152]",252.0,6.0,image221454
"[250.         250.3        250.6        250.9        251.2
 251.5        251.8        252.1        252.4        252.7
 252.99995277]","[480.         432.6        385.2        337.8        290.4
 243.         195.6        148.2        100.8         53.4
   5.99996622]",253.0,6.0,image221455
"[250.         250.4        250.8        251.2        251.6
 252.         252.4        252.8        253.2        253.6
 253.99995282]","[480.         432.6        385.2        337.8        290.4
 243.         195.6        148.2        100.8         53.4
   5.99996625]",254.0,6.0,image221460
"[250.         250.4        250.8        251.2        251.6
 252.         252.4        252.8        253.2        253.6
 254.00000024]","[480.         432.7        385.4        338.1        290.8
 243.5        196.2        148.9        101.6         54.3
   7.00000094]",254.0,7.0,image221461
"[250.         250.3        250.6        250.9        251.2
 251.5        251.8        252.1        252.4        252.7
 253.00000025]","[480.         432.7        385.4        338.1        290.8
 243.5        196.2        148.9        101.6         54.3
   7.00000094]",253.0,7.0,image221465
"[250.        250.2       250.4       250.6       250.8       251.
 251.2       251.4       251.6       251.8       252.0000002]","[480.         432.7        385.4        338.1        290.8
 243.5        196.2        148.9        101.6         54.3
   6.99999923]",252.0,7.0,image221470
"[250.         250.1        250.2        250.3        250.4
 250.5        250.6        250.7        250.8        250.9
 251.00000021]","[480.         432.7        385.4        338.1        290.8
 243.5        196.2        148.9        101.6         54.3
   6.99999923]",251.0,7.0,image221471
"[250.         250.         250.         250.         250.
 250.         250.         250.         250.         250.
 250.00000024]","[480.         432.7        385.4        338.1        290.8
 243.5        196.2        148.9        101.6         54.3
   7.00000094]",250.0,7.0,image221477
